URIs,Name label
http://www.wikidata.org/entity/Q3738574,"Horn, Klaus Kristerinpoika (noin 1518 - 1566)"
http://www.wikidata.org/entity/Q6015747,"Nordman, Carl Axel (1892 - 1972)"
http://www.wikidata.org/entity/Q11853373,"Raatikainen, August (1884 - 1952)"
http://www.wikidata.org/entity/Q11863532,"Nystén, Holger (1905 - 1964)"
http://www.wikidata.org/entity/Q11857590,"Heporauta, Elsa (1883 - 1960)"
http://www.wikidata.org/entity/Q11885361,"Poppius, Olga (1866 - 1939)"
http://www.wikidata.org/entity/Q18633821,"Vesenterä, Artturi (1881 - 1954)"
http://www.wikidata.org/entity/Q18633018,"Kittilä, Urho (1897 - 1977)"
http://www.wikidata.org/entity/Q3718830,"Pacchalenius, Thomas (1703 - 1784)"
http://www.wikidata.org/entity/Q11880589,"Gullichsen, Maire (1907 - 1990)"
http://www.wikidata.org/entity/Q3564835,"Jurkka, Sakari (1923 - 2012)"
http://www.wikidata.org/entity/Q4349847,"Suolahti, Hugo (1874 - 1944)"
http://www.wikidata.org/entity/Q4347851,"Hanell, Edvard (1894 - 1947)"
http://www.wikidata.org/entity/Q16737299,"Lindforss, Mårten Johan (1800 - 1869)"
http://www.wikidata.org/entity/Q3266212,"Lindqvist, Ludvig Isak (1827 - 1894)"
http://www.wikidata.org/entity/Q105704835,"Aminoff, Brita Sofia (1753 - 1818)"
http://www.wikidata.org/entity/Q11860744,"Hernberg, Gunnar (1904 - 1993)"
http://www.wikidata.org/entity/Q11860045,"Sundwall, Fredrik Wilhelm (1843 - 1929)"
http://www.wikidata.org/entity/Q17380380,"Grundström, John (1877 - 1953)"
http://www.wikidata.org/entity/Q11860772,"Lindblom, Gustaf Adolf (1828 - 1889)"
http://www.wikidata.org/entity/Q6060833,"Radloff, Fredrik Wilhelm (1765 - 1838)"
http://www.wikidata.org/entity/Q11859180,"Malm, Evert (1871 - 1945)"
http://www.wikidata.org/entity/Q4115956,"Kajava, Viljo (1909 - 1998)"
http://www.wikidata.org/entity/Q547230,"Hiltunen, Onni (1895 - 1971)"
http://www.wikidata.org/entity/Q17380517,"Hamidulla, Hasan (1900 - 1988)"
